ID,ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
8789,41 Castellon Crescent,Coogee,950500,4,2,3,727,276,1998,20600,Cockburn Central Station,8400,"04-2016",6166,-32.12153,115.76971,PORT SCHOOL,4.360302495,
8790,10 Davilak Crescent,Manning,1080000,4,2,2,911,225,2012,6400,Canning Bridge Station,862,"07-2019",6152,-32.00953113,115.8652855,COMO SECONDARY COLLEGE,0.855762886,87
8791,10 Bosbaan Place,Champion Lakes,196000,4,2,2,451,180,2013,22300,Kelmscott Station,2200,"09-2012",6111,-32.11842915,115.9910315,KELMSCOTT SENIOR HIGH SCHOOL,1.916364269,113
8792,1/59 Hastings Street,Scarborough,579000,3,2,,3502,133,1990,11100,Stirling Station,4300,"10-2020",6019,-31.8996,115.75956,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,1.709824407,
8793,1 Rosalind Court,Rossmoyne,1110000,4,2,2,877,226,1970,9900,Bull Creek Station,1700,"12-2018",6148,-32.04082519,115.870132,ROSSMOYNE SENIOR HIGH SCHOOL,0.606293983,16
8794,40 Andalusian Retreat,Brigadoon,920000,4,2,,20017,288,2006,28000,Midland Station,13800,"10-2006",6069,-31.79191611,116.0884566,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,9.741884932,53
8795,11 Beacon Way,Singleton,419000,4,2,2,600,226,2006,54500,Mandurah Station,10400,"01-2018",6175,-32.43458359,115.7595123,COMET BAY COLLEGE,2.114224085,35
8796,1 Grid Court,Beldon,487000,3,1,2,685,124,1983,22000,Edgewater Station,1600,"02-2017",6027,-31.7725,115.76202,BELRIDGE SECONDARY COLLEGE,0.259519226,102
8797,51a Margaret Street,Watermans Bay,1250000,4,3,2,585,287,2012,14900,Warwick Station,3800,"11-2016",6020,-31.85041316,115.7568264,CARINE SENIOR HIGH SCHOOL,1.820008603,47
8798,9 Impson Gardens,South Lake,385000,4,2,2,472,121,,18300,Cockburn Central Station,2100,"01-2017",6164,-32.11554,115.83953,LAKELAND SENIOR HIGH SCHOOL,0.939148293,
8799,5 Sanford Court,Lockridge,340000,3,2,4,377,117,2000,11400,Success Hill Station,1600,"04-2018",6054,-31.88669,115.95113,KIARA COLLEGE,1.829951718,
8800,48 White Street,Osborne Park,697000,3,1,1,794,131,1968,6900,Glendalough Station,1900,"12-2019",6017,-31.89718,115.82522,SERVITE COLLEGE,1.004996647,65
8801,7 Bessant Court,Camillo,350000,4,2,2,910,136,2007,22800,Challis Station,1900,"04-2016",6111,-32.12202983,115.9934541,KELMSCOTT SENIOR HIGH SCHOOL,1.659046323,113
8802,231 Carabooda Road,Carabooda,1320000,8,4,4,81200,210,1990,40600,Butler Station,5400,"05-2015",6033,-31.60122,115.74116,BUTLER COLLEGE,6.397846368,39
8803,23 Gamble Way,Karrinyup,1500000,4,2,2,730,458,2011,11300,Stirling Station,3400,"03-2019",6018,-31.88346,115.7709,ST MARY'S ANGLICAN GIRLS' SCHOOL,0.84517843,7
8804,3 Prichard Road,Greenmount,515000,4,2,2,891,148,1989,18700,Midland Station,4800,"05-2013",6056,-31.90508388,116.0492049,SWAN VIEW SENIOR HIGH SCHOOL,2.011414258,
8805,140 Lance Street,Sawyers Valley,95000,4,1,2,2001,236,1996,34600,Midland Station,20500,"02-1996",6074,-31.889969,116.217667,EASTERN HILLS SENIOR HIGH SCHOOL,1.794411962,105
8806,145 Ninth Avenue,Inglewood,800000,2,2,1,347,124,1920,4200,Maylands Station,727,"08-2017",6052,-31.92318,115.88686,PERTH COLLEGE,1.394803626,9
8807,19 Hallstrom Way,Canning Vale,620000,5,2,2,608,222,2009,16200,Thornlie Station,4100,"03-2020",6155,-32.08159678,115.9371272,CANNING VALE COLLEGE,1.359739313,68
8808,11 London Way,Bateman,1200000,6,3,2,700,291,2012,12400,Murdoch Station,412,"03-2014",6150,-32.06292,115.8492,CORPUS CHRISTI COLLEGE,0.886694944,28
8809,1/15 Lisbon Court,Parkwood,339000,3,1,2,1012,120,1992,11200,Thornlie Station,4300,"11-2018",6147,-32.04397,115.90672,LYNWOOD SENIOR HIGH SCHOOL,0.91631418,96
8810,6 College Road,Gooseberry Hill,710000,3,2,2,2121,166,1960,17900,Midland Station,9200,"11-2015",6076,-31.96334,116.04839,KALAMUNDA SENIOR HIGH SCHOOL,1.776803436,107
8811,42 Princeton Circuit,Aubin Grove,645000,4,2,2,613,224,2009,23800,Cockburn Central Station,4500,"05-2016",6164,-32.1655694,115.8591369,ATWELL COLLEGE,2.449808952,129
8812,8 Beenan Close,Karawara,581000,3,1,2,758,105,1977,6400,Canning Bridge Station,1900,"02-2010",6152,-32.00796,115.87621,COMO SECONDARY COLLEGE,0.675000502,87
8813,5 Narrier Close,South Guildford,498000,4,2,2,558,196,2000,12500,East Guildford Station,2200,"03-2018",6055,-31.91618,115.98377,GUILDFORD GRAMMAR SCHOOL,2.46944876,52
8814,5 Nowranie Place,Hillman,305000,3,1,1,693,103,1974,38000,Rockingham Station,772,"11-2013",6168,-32.28483,115.76656,KOLBE CATHOLIC COLLEGE,1.30108751,97
8815,3B Sudlow Street,Embleton,470000,3,2,,347,140,2008,7200,Bayswater Station,1700,"11-2020",6062,-31.9034768,115.908968,JOHN FORREST SECONDARY COLLEGE,0.766595785,74
8816,43 Burns Street,North Fremantle,925000,3,2,2,274,170,1998,13600,North Fremantle Station,970,"03-2016",6159,-32.03769472,115.7562339,JOHN CURTIN COLLEGE OF THE ARTS,1.216640073,25
8817,23 Madura Close,Ballajura,350000,3,1,2,510,103,1996,13300,Bayswater Station,8400,"10-2019",6066,-31.84262,115.91601,BALLAJURA COMMUNITY COLLEGE,2.146206042,133
8818,23 Demesne Circuit,Aveley,580000,4,2,2,678,269,2007,21100,East Guildford Station,11500,"12-2020",6069,-31.7934291,115.980802,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.451218103,53
8819,9 Wallangarra Drive,Bedfordale,690000,4,2,8,13671,255,1980,32700,Armadale Station,6400,"07-2019",6112,-32.1852,116.06984,SOUTHERN HILLS CHRISTIAN COLLEGE,2.064086694,
8820,12 Wilsmore Grove,Kardinya,660000,4,2,2,1151,217,,13700,Murdoch Station,3900,"01-2020",6163,-32.06775586,115.8092394,NORTH LAKE SENIOR CAMPUS,0.767248806,
8821,155 Reservoir Road,Orange Grove,158000,4,2,2,19994,317,2005,18000,Madding,3900,"09-1999",6109,-32.03694,116.02083,LUMEN CHRISTI COLLEGE,3.485802113,122
8822,5 Narwood Place,Midvale,340000,3,1,2,793,90,1979,18200,Midland Station,3300,"07-2015",6056,-31.88651098,116.0356655,SWAN VIEW SENIOR HIGH SCHOOL,0.825741466,
8823,18 Harman Street,Belmont,510000,3,2,2,432,158,1999,7500,Burswood Station,3700,"03-2017",6104,-31.95516769,115.938547,BELMONT CITY COLLEGE,0.567609945,57
8824,4 Waler Close,Stratton,405000,4,2,2,556,180,1996,19900,Midland Station,4900,"08-2016",6056,-31.86704,116.04434,SWAN VIEW SENIOR HIGH SCHOOL,2.273504495,
8825,273 Karoborup Road,Carabooda,865500,4,2,2,57000,199,1973,40300,Butler Station,3400,"10-2016",6033,-31.60971,115.71944,BUTLER COLLEGE,4.776050309,39
8826,3 Solanum Court,Ellenbrook,260000,3,2,1,345,114,1996,20600,Guildford Station,11700,"03-2020",6069,-31.79377,115.97052,ELLENBROOK SECONDARY COLLEGE,1.088165368,119
8827,16 Brumby Avenue,Henley Brook,442500,4,2,4,522,141,2003,20500,East Guildford Station,11100,"07-2015",6055,-31.79677631,115.975611,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.968825431,53
8828,37 Jane Brook Drive,Jane Brook,465000,4,2,2,755,256,2000,20600,Midland Station,5700,"08-2016",6056,-31.85943,116.04837,SWAN VIEW SENIOR HIGH SCHOOL,3.143170052,
8829,29 Ardleigh Crescent,Hamersley,540000,4,2,1,764,133,1970,12200,Warwick Station,1500,"09-2016",6022,-31.85064,115.81091,WARWICK SENIOR HIGH SCHOOL,1.397651468,
8830,1/1 Wingfield Avenue,Crawley,950000,1,1,1,221,95,1968,4000,Subiaco Station,3200,"08-2015",6009,-31.97354047,115.8247434,SHENTON COLLEGE,2.564503035,14
8831,19 Butcher Street,Mundijong,130000,2,2,2,2028,240,1930,39800,Armadale Station,15800,"01-2005",6123,-32.29357,115.98354,COURT GRAMMAR SCHOOL,2.75749068,
8832,36 Robinson Terrace,Daglish,1200000,3,2,2,756,168,1934,4100,Daglish Station,476,"01-2010",6008,-31.94831,115.81556,SHENTON COLLEGE,1.734446909,14
8833,55 Mereworth Way,Marangaroo,430000,4,2,1,700,176,1986,13700,Warwick Station,2800,"01-2019",6064,-31.83275,115.82228,WARWICK SENIOR HIGH SCHOOL,0.92384408,
8834,52 Sacramento Parade,Hocking,539000,4,2,2,576,251,2006,21000,Edgewater Station,4400,"07-2019",6065,-31.765522,115.824583,WANNEROO SECONDARY COLLEGE,1.23362924,131
8835,24 Benbecula Loop,Port Kennedy,213000,3,1,2,519,118,2003,46700,Warnbro Station,4200,"10-2019",6172,-32.36288,115.75699,WARNBRO COMMUNITY HIGH SCHOOL,1.935619625,
8836,30 Greenhill Grove,Cardup,950000,4,2,2,20073,307,2004,34200,Kwinana Station,11700,"08-2014",6122,-32.24522,115.96659,COURT GRAMMAR SCHOOL,3.575312095,
8837,69 Hartung Street,Mundaring,540000,4,2,2,1794,172,1985,30200,Midland Station,16300,"06-2017",6073,-31.90038,116.1729,MUNDARING CHRISTIAN COLLEGE,0.720712877,
8838,42 Kennedy Road,Morley,455000,3,1,2,375,140,1964,6600,Maylands Station,3100,"01-2020",6062,-31.90016,115.89226,JOHN FORREST SECONDARY COLLEGE,0.928654001,74
8839,35 SISTINA ROAD,Ashby,422500,4,2,2,584,172,2006,24500,Joondalup Station,2900,"05-2020",6065,-31.738923,115.796949,WANNEROO SECONDARY COLLEGE,2.720822912,131
8840,42 Welara Circle,Henley Brook,470000,4,2,2,426,202,2001,20200,Guildford Station,11300,"03-2012",6055,-31.79735,115.97123,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.385406712,53
8841,4 Yulan Court,Huntingdale,265000,3,1,1,687,98,1974,16800,Gosnells Station,2800,"03-2020",6110,-32.06908,115.97074,THORNLIE SENIOR HIGH SCHOOL,1.091671551,125
8842,10 Kinta Street,City Beach,1346666,3,3,2,261,236,2012,8700,Swanbourne Station,6000,"05-2018",6015,-31.92866143,115.7711694,NEWMAN COLLEGE,1.644502214,44
8843,366C Hardey Road,Cloverdale,400000,3,2,2,1046,130,2006,8500,Burswood Station,4500,"09-2017",6105,-31.958865,115.948012,BELMONT CITY COLLEGE,1.28132769,57
8844,75 Germain Way,Lockridge,420000,4,1,3,745,112,1979,11900,Bassendean Station,2900,"12-2013",6054,-31.87767325,115.9496601,KIARA COLLEGE,1.375500744,
8845,5 Palmerose Court,North Lake,550000,4,2,2,734,105,1988,14600,Murdoch Station,3300,"08-2014",6163,-32.0785,115.81844,NORTH LAKE SENIOR CAMPUS,0.710660387,
8846,48 Treave Street,Cloverdale,440000,3,1,2,401,132,1970,8400,Queens Park Station,3700,"06-2017",6105,-31.97369589,115.9441758,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,1.303133852,102
8847,13 Boronia Court,Thornlie,497000,4,2,2,1014,183,1992,16100,Thornlie Station,3300,"11-2018",6108,-32.07622,115.94727,THORNLIE SENIOR HIGH SCHOOL,1.607155978,125
8848,61A Dean Road,Bateman,585000,3,1,,439,167,2015,11500,Murdoch Station,1400,"03-2014",6150,-32.05489273,115.844734,CORPUS CHRISTI COLLEGE,0.29059886,28
8849,66a Beach Road,Watermans Bay,720000,3,2,2,390,173,1970,15100,Warwick Station,3600,"03-2010",6020,-31.84645,115.75876,CARINE SENIOR HIGH SCHOOL,1.771163607,47
8850,4/45 Third Avenue,Kelmscott,173000,3,1,2,313,95,1992,23400,Kelmscott Station,740,"08-2020",6111,-32.11922,116.00953,KELMSCOTT SENIOR HIGH SCHOOL,0.289091786,113
8851,65 Gosford Meander,Ashby,400000,3,2,2,242,108,,24600,Joondalup Station,2900,"06-2015",6065,-31.73782188,115.7972745,WANNEROO SECONDARY COLLEGE,2.798100407,131
8852,21 Burlinson Crescent,Koondoola,455000,3,1,1,771,94,1976,12200,Warwick Station,6300,"06-2014",6064,-31.843069,115.8629106,MERCY COLLEGE,0.687401399,46
8853,8 Coomel Close,Hillman,320000,3,1,2,683,99,1974,37600,Rockingham Station,1200,"06-2014",6168,-32.28056,115.76644,KOLBE CATHOLIC COLLEGE,1.174221363,97
8854,194 Boulonnais Drive,Brigadoon,1055000,4,3,4,51520,366,2005,26600,Midland Station,12800,"11-2010",6069,-31.79186,116.06764,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,7.775044455,53
8855,12A Dania Way,Butler,285000,3,2,1,204,111,2012,36300,Butler Station,2200,"07-2019",6036,-31.64877004,115.7171763,BUTLER COLLEGE,0.864654437,39
8856,51 Dunmore Crescent,Harrisdale,595000,4,1,,450,231,2016,20500,Cockburn Central Station,7100,"07-2018",6112,-32.1252102,115.9332483,CAREY BAPTIST COLLEGE,1.530135094,62
8857,28 Burnside Street,Bayswater,695000,4,1,2,379,133,1920,6100,Bayswater Station,350,"09-2019",6053,-31.91727,115.90898,CHISHOLM CATHOLIC COLLEGE,1.020495998,29
8858,16 Welara Circle,Henley Brook,565000,4,2,2,684,252,2004,20400,Guildford Station,11500,"10-2013",6055,-31.79596,115.97066,ELLENBROOK SECONDARY COLLEGE,1.305644949,119
8859,25 Glenmere Road,Warwick,518000,3,1,1,749,107,1970,13400,Warwick Station,1100,"05-2020",6024,-31.84051,115.80716,WARWICK SENIOR HIGH SCHOOL,0.807583155,
8860,2 Brora Grove,Boya,680000,4,2,2,2002,282,2009,18500,Midland Station,4900,"08-2007",6056,-31.91092,116.04769,SWAN VIEW SENIOR HIGH SCHOOL,2.62645161,
8861,8B Joseph Street,West Leederville,925000,3,2,2,533,155,1996,3300,Subiaco Station,603,"04-2017",6007,-31.93969,115.82678,PERTH MODERN SCHOOL,1.086890344,1
8862,43 Ranford Way,Hillarys,980000,3,2,2,450,239,1996,18400,Greenwood Station,3200,"03-2020",6025,-31.81581,115.74889,SACRED HEART COLLEGE,1.304560148,19
8863,22 Bedfordale Hill Road,Mount Richon,549990,4,2,1,1960,600,1986,27700,Armadale Station,1000,"06-2016",6112,-32.15969397,116.0211879,ARMADALE SENIOR HIGH SCHOOL,0.675144172,
8864,5 Verdello Way,Pearsall,437000,3,2,2,300,171,2009,19100,Whitfords Station,3500,"10-2020",6065,-31.78452438,115.8150768,ALTA-1,0.191584282,
8865,30 Kells Road,Alkimos,302000,3,2,2,360,136,2011,39000,Butler Station,701,"05-2019",6038,-31.62908195,115.7005677,BUTLER COLLEGE,2.627186062,39
8866,76C Edward Street,Osborne Park,336000,3,2,,179,98,2006,5800,Glendalough Station,935,"06-2019",6017,-31.90709,115.82727,SERVITE COLLEGE,0.774539799,65
8867,8/28 Porter Street,Gwelup,770000,4,2,2,308,185,2008,10900,Warwick Station,2800,"04-2017",6018,-31.87004546,115.7953437,BALCATTA SENIOR HIGH SCHOOL,1.708371945,135
8868,32 Rushbrook Way,Thornlie,325000,3,2,1,688,113,1970,15200,Thornlie Station,1600,"10-2018",6108,-32.06093,115.95599,THORNLIE SENIOR HIGH SCHOOL,0.687066033,125
8869,13 Westbourne Way,Lynwood,520000,5,1,1,812,146,1967,11900,Thornlie Station,2100,"12-2014",6147,-32.03854,115.93248,LANGFORD ISLAMIC COLLEGE,0.945206677,85
8870,5 Falke Court,Atwell,472000,4,2,2,553,124,1993,19900,Cockburn Central Station,1100,"10-2018",6164,-32.13111,115.86769,ATWELL COLLEGE,1.467413501,129
8871,9 Marita Road,Nedlands,1975400,5,3,2,923,351,1940,6800,Karrakatta Station,1500,"12-2017",6009,-31.98192,115.79605,CHRIST CHURCH GRAMMAR SCHOOL,1.841144081,3
8872,9 Lourens Dale,Winthrop,1050000,4,2,,1065,240,1988,11500,Bull Creek Station,3000,"10-2019",6150,-32.050971,115.822211,MELVILLE SENIOR HIGH SCHOOL,1.66201486,61
8873,41A Stirk Road,Alfred Cove,649000,3,2,2,432,140,1996,9800,Bull Creek Station,3500,"07-2018",6154,-32.03419,115.82065,APPLECROSS SENIOR HIGH SCHOOL,1.463129337,34
8874,16 Greenhill Grove,Cardup,810000,4,2,2,9307,227,2004,34400,Kwinana Station,11800,"03-2016",6122,-32.24696358,115.9661322,COURT GRAMMAR SCHOOL,3.459462027,
8875,2 Snowdrop Retreat,Mirrabooka,315000,3,1,1,662,130,1989,10500,Warwick Station,7100,"05-2018",6061,-31.85837513,115.8695929,JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL,1.222494707,35
8876,11 Hitek Court,Merriwa,270000,4,2,2,602,115,1990,34000,Clarkson Station,3000,"07-2020",6030,-31.67288,115.71389,QUINNS BAPTIST COLLEGE,0.507404294,118
8877,118 Rosalie Street,Shenton Park,980000,3,2,4,326,141,1993,3700,Daglish Station,1100,"04-2019",6008,-31.95996,115.82083,SHENTON COLLEGE,1.682106781,14
8878,66 Bramwell Road,Noranda,620000,4,2,2,714,219,1989,8900,Maylands Station,5800,"10-2016",6062,-31.87581,115.88733,MORLEY SENIOR HIGH SCHOOL,0.416859706,100
8879,4 Bombala Close,Merriwa,187500,4,2,2,540,145,1999,35200,Butler Station,3100,"08-2015",6030,-31.66198,115.7111,ALKIMOS BAPTIST COLLEGE,0.203393175,
8880,33 Masefield Avenue,North Lake,625000,4,2,2,720,190,,15000,Murdoch Station,3400,"07-2013",6163,-32.08321,115.82093,PERTH WALDORF SCHOOL,1.045389804,
8881,2 Eric Street,Hazelmere,145000,4,1,,2415,225,1969,14200,Woodbridge Station,988,"02-1997",6055,-31.8999,115.99595,YOUTH FUTURES COMMUNITY SCHOOL,1.323493679,
8882,12 Brookman Avenue,Langford,378000,4,2,2,503,144,2003,11900,Thornlie Station,2000,"02-2020",6147,-32.03603,115.93639,LANGFORD ISLAMIC COLLEGE,1.11751173,85
8883,16 Cubbine Close,Hillman,430000,5,2,3,1339,157,1974,38300,Rockingham Station,478,"01-2018",6168,-32.28601,115.76007,KOLBE CATHOLIC COLLEGE,0.882908506,97
8884,57 Bilgoman Road,Glen Forrest,489500,3,1,1,1569,126,1977,22600,Midland Station,8900,"11-2016",6071,-31.90811,116.09308,HELENA COLLEGE,0.170432597,78
8885,80A Kooyong Road,Rivervale,575000,3,2,2,510,125,,5100,Burswood Station,1200,"07-2020",6103,-31.96101,115.91243,ST CLARE'S SCHOOL,1.182358478,
8886,14 Alizarin Loop,Eglinton,258500,4,1,,450,196,2015,43500,Butler Station,5200,"12-2014",6034,-31.59485998,115.6725782,YANCHEP SECONDARY COLLEGE,5.459510779,
8887,17 Abbey Green Road,Banksia Grove,440000,4,2,2,609,159,2010,27800,Currambine Station,5800,"11-2020",6031,-31.70614279,115.8076037,JOSEPH BANKS SECONDARY COLLEGE,1.332751154,92
8888,23 Cardiff Loop,Huntingdale,435000,4,2,2,542,142,2003,18400,Seaforth Station,4200,"06-2016",6110,-32.09011,115.96658,SOUTHERN RIVER COLLEGE,1.353452423,121
8889,9 Jolley Grove,Winthrop,367500,4,2,4,743,292,,12100,Murdoch Station,1500,"08-2015",6150,-32.05923,115.83672,CORPUS CHRISTI COLLEGE,0.633838871,28
8890,61 Delgado Parade,Iluka,865000,4,3,2,608,316,2003,26900,Currambine Station,2400,"11-2017",6028,-31.737412,115.729407,PRENDIVILLE CATHOLIC COLLEGE,2.153066248,60
8891,5 Carlindie Way,Ellenbrook,430000,4,2,2,600,217,2002,22200,East Guildford Station,13100,"12-2020",6069,-31.77903,115.97607,HOLY CROSS COLLEGE,0.693026976,98
8892,82 Egham Road,Lathlain,1355000,4,2,2,1021,305,1999,4900,Vic,561,"10-2014",6100,-31.96826,115.90669,ST CLARE'S SCHOOL,0.367849997,
8893,53 Ozone Terrace,Kalamunda,750000,3,2,2,2191,210,1997,17000,Madding,8900,"01-2020",6076,-31.98277,116.0356,HERITAGE COLLEGE PERTH,1.50663359,
8894,3 Prescott Drive,Kardinya,542000,4,2,2,510,159,1988,12900,Murdoch Station,2100,"09-2019",6163,-32.06543,115.82846,KENNEDY BAPTIST COLLEGE,0.888678697,12
8895,14 Harley Way,Medina,349000,3,1,1,756,83,1953,31800,Kwinana Station,3200,"03-2015",6167,-32.23462,115.80815,GILMORE COLLEGE,0.745834819,138
8896,2 Thames Court,Beechboro,375000,4,1,1,719,133,1989,12600,Bassendean Station,4500,"07-2020",6063,-31.86322,115.94111,KIARA COLLEGE,1.681488861,
8897,45 Goldfields Loop,Wandi,370000,3,2,2,349,133,2015,26500,Kwinana Station,5200,"05-2020",6167,-32.19021712,115.8578203,ATWELL COLLEGE,5.179884287,129
8898,55 Elyard Crescent,Stirling,510000,3,2,4,357,153,2001,10700,Stirling Station,2900,"07-2017",6021,-31.86848,115.8033,BALCATTA SENIOR HIGH SCHOOL,1.151643769,135
8899,3 Curedale Street,Beaconsfield,675000,2,1,2,304,100,1900,15400,Fremantle Station,2200,"04-2017",6162,-32.06421911,115.7639243,FREMANTLE COLLEGE,0.560969911,128
8900,111 Meller Road,Bibra Lake,440000,4,2,1,701,146,1988,16300,Murdoch Station,3700,"04-2016",6163,-32.09793,115.83922,LAKELAND SENIOR HIGH SCHOOL,1.388901635,
8901,6 Moseley Drive,The Vines,600000,4,2,2,1012,336,2009,24700,Woodbridge Station,14600,"03-2017",6069,-31.76082505,115.9912642,HOLY CROSS COLLEGE,2.140290589,98
8902,95 Elliot Road,Wanneroo,595000,4,2,2,601,262,2009,21400,Edgewater Station,4000,"01-2020",6065,-31.76291641,115.8190059,WANNEROO SECONDARY COLLEGE,0.669614033,131
8903,46 Glendale Avenue,Hamersley,630000,3,2,2,699,171,1973,12600,Warwick Station,1200,"10-2016",6022,-31.8474,115.80879,WARWICK SENIOR HIGH SCHOOL,1.155550537,
8904,33A Vermont Street,Nollamara,415000,3,2,2,1299,68,1976,8500,Stirling Station,3400,"07-2018",6061,-31.87886123,115.8353296,DIANELLA SECONDARY COLLEGE,1.850284592,
8905,43 Jillian Street,Riverton,585000,3,2,1,350,129,1995,9700,Bull Creek Station,4500,"12-2017",6148,-32.0329,115.89893,LYNWOOD SENIOR HIGH SCHOOL,1.906365529,96
8906,15 Belstead Avenue,Noranda,592000,5,2,5,737,214,1984,10200,Bayswater Station,4900,"10-2018",6062,-31.87416,115.91465,KIARA COLLEGE,1.965953954,
8907,71 Limetree Circuit,Mindarie,465000,3,2,2,451,177,2000,32700,Clarkson Station,2600,"12-2019",6030,-31.68604,115.71145,YOUTH FUTURES COMMUNITY SCHOOL,0.974107157,
8908,26 Saunders Street,North Beach,1255000,4,2,1,506,202,1958,13700,Warwick Station,4500,"05-2017",6020,-31.86562,115.75514,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.6414272,7
8909,32 Gillon Street,Karawara,888888,4,2,2,480,245,2001,6600,Canning Bridge Station,2300,"05-2015",6152,-32.00902,115.88026,COMO SECONDARY COLLEGE,1.04517506,87
8910,56 Moreing Street,Redcliffe,469000,3,1,1,665,109,1960,7600,Ashfield Station,2900,"07-2016",6104,-31.93842,115.93739,BELMONT CITY COLLEGE,2.29404909,57
8911,20 Amherst Road,Swan View,650000,3,2,,1244,191,1934,19400,Midland Station,4800,"07-2017",6056,-31.892536,116.051649,SWAN VIEW SENIOR HIGH SCHOOL,0.890828944,
8912,39 St Catharines Promenade,Champion Lakes,235000,4,3,2,400,189,2015,22000,Kelmscott Station,2000,"06-2014",6111,-32.11400719,115.9925295,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.773379841,40
8913,26 Protea Way,Banksia Grove,331500,3,2,2,300,111,2011,28600,Clarkson Station,5900,"07-2017",6031,-31.70027834,115.7989713,JOSEPH BANKS SECONDARY COLLEGE,0.287368004,92
8914,5 Tanner Street,Middle Swan,270000,3,1,2,503,135,1910,16900,Midland Station,2200,"12-2017",6056,-31.8736479,116.0120954,LA SALLE COLLEGE,0.909146907,53
8915,131 Castlecrag Drive,Kallaroo,1270000,5,3,3,809,380,1988,20900,Whitfords Station,4500,"01-2019",6025,-31.79688,115.73489,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.775551129,58
8916,5 CALABAR COURT,Merriwa,365000,4,2,2,657,142,2012,34700,Butler Station,3700,"01-2018",6030,-31.66738,115.71052,ALKIMOS BAPTIST COLLEGE,0.785037795,
8917,107 Newbold Road,Casuarina,815000,4,2,2,23933,270,1986,30900,Kwinana Station,3900,"07-2010",6167,-32.2288,115.8835,THE KING'S COLLEGE,5.057372855,
8918,6 Caracara Way,Bennett Springs,450000,4,2,2,544,204,,12400,Ashfield Station,5800,"06-2016",6063,-31.86058981,115.9331562,KIARA COLLEGE,1.884268963,
8919,26 Hunter Drive,Lesmurdie,488000,3,1,1,944,131,,20400,Madding,9400,"07-2020",6076,-32.00324,116.06629,ST BRIGID'S COLLEGE,1.529912417,99
8920,274 Boulonnais Drive,Brigadoon,900000,4,2,5,25500,268,1994,27300,Midland Station,13200,"04-2010",6069,-31.79223,116.07758,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,8.713021202,53
8921,4 Gold Lane,Iluka,710000,5,2,5,666,249,2002,27400,Currambine Station,2000,"12-2019",6028,-31.73092,115.73109,PRENDIVILLE CATHOLIC COLLEGE,2.765410009,60
8922,28 Cerulean Road,Karnup,154000,4,2,3,405,168,2015,55600,Mandurah Station,9300,"01-2014",6176,-32.44501617,115.7652596,COMET BAY COLLEGE,3.256051449,35
8923,5/276 Belmont Avenue,Kewdale,316000,3,1,1,176,86,1995,7400,Vic,3200,"03-2018",6105,-31.96791,115.93529,BELMONT CITY COLLEGE,1.006385723,57
8924,41 Markwell Avenue,Haynes,185000,3,2,2,327,144,2015,26200,Armadale Station,2100,"07-2014",6112,-32.15859248,115.9916045,DALE CHRISTIAN SCHOOL,0.67644762,
8925,21 Regatta Boulevard,Champion Lakes,300000,3,2,2,260,116,2015,22000,Kelmscott Station,2000,"08-2017",6111,-32.11425838,115.9924587,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.795165472,40
8926,1 ROSTRATUS Link,Dayton,480000,3,2,2,395,146,2015,14800,East Guildford Station,3900,"11-2016",6055,-31.86142468,115.9726678,GOVERNOR STIRLING SENIOR HIGH SCHOOL,3.418944187,130
8927,126 Ridgewood Boulevard,Ridgewood,390000,4,2,2,425,154,2007,34900,Clarkson Station,3600,"10-2016",6030,-31.66115,115.721476,ALKIMOS BAPTIST COLLEGE,1.073499408,
8928,7 Baloo Place,Koongamia,380000,3,1,1,679,99,1986,18300,Midland Station,4400,"03-2014",6056,-31.90551,116.04409,SWAN VIEW SENIOR HIGH SCHOOL,2.005639519,
8929,19 Pascal Mews,Ridgewood,524000,4,2,2,531,160,2007,34100,Clarkson Station,2800,"05-2015",6030,-31.6674,115.72677,CLARKSON COMMUNITY HIGH SCHOOL,1.117379983,
8930,50 Houghton Drive,Carramar,505000,4,2,6,695,213,1999,27800,Currambine Station,3300,"07-2018",6031,-31.71125,115.78218,JOSEPH BANKS SECONDARY COLLEGE,1.953567658,92
8931,10 Second Avenue,Woodbridge,790000,4,2,,683,200,2002,14300,Woodbridge Station,158,"01-2017",6056,-31.89023,115.9918,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.317201079,130
